"dpp_id","dpp_shelf_pos","dpp_shelf_col_pos","dpp_rfid_cd","dpp_isbn","dpp_product_name","dpp_scaner_name"
1,1,1,"E28069950000400810E8CD3C","4774148911",Ｊｅｎｋｉｎｓ実践入門～ビルド・テスト・(1.1),TECRFIDSCANNERUSB5
2,1,2,"E28069950000400810E79D3C","4891005157",Ｗｅｂアプリケーション構築技法－ＡＳＰ．(1.2),TECRFIDSCANNERUSB5
3,1,3,"E28069950000500810E8653C","4091264115",名探偵コナン　　４１(1.3),TECRFIDSCANNERUSB5
4,1,4,"E28069950000500810E8F53C","4088768825",リアル　　　５(1.4),TECRFIDSCANNERUSB5
5,2,1,"E28069950000400810E85D3C","4788506386",社会と環境の理論(2.1),TECRFIDSCANNERUSB5
6,2,2,"E28069950000400810E8153C","4479791922",ウェブ３．０型社会　リアルとネット、歩み (2.2),TECRFIDSCANNERUSB5
7,2,3,"E28069950000400810E7753C","4798013412",ＩＳＯ２００００の基本と仕組みがよ～くわ(2.3),TECRFIDSCANNERUSB5
8,2,4,"E28069950000500810E8093C","4163742204",日本復興計画(2.4),TECRFIDSCANNERUSB5
9,3,1,"E28069950000500810E7713C","4778200861",ネット＋マイニング　先端企業１６選(3.1),TECRFIDSCANNERUSB5
10,3,2,"E28069950000500810E8BD3C","4798100234",イノベーションのジレンマ　増補改訂版(3.2),TECRFIDSCANNERUSB5
11,3,3,"E28069950000400810E80D3C","4885531926",団塊マ－ケティング(3.3),TECRFIDSCANNERUSB5
12,3,4,"E28069950000500810E8353C","4093033161",ねこの健康事典　子猫から高齢猫まで一生安(3.4),TECRFIDSCANNERUSB5
13,4,1,"E28069950000400810E7793C","4778200616",ＩＳＯ２７００１でひもとく情報セキュリテ(4.1),TECRFIDSCANNERUSB5
14,4,2,"E28069950000400810E7913C","4532319099",日経業界地図　２０１４年版(4.2),TECRFIDSCANNERUSB5
15,4,3,"E28069950000500810E88D3C","4096580708",松尾芭蕉集　　　１(4.3),TECRFIDSCANNERUSB5
16,4,4,"E28069950000500810E8593C","4096580716",松尾芭蕉集　　　２(4.4),TECRFIDSCANNERUSB5
